Word-N,Type,Position(Optional),Word-TH,Type,Position(Optional)
ก้านกุ่ง,V,,เจริญ,V,
กะง็อก,V,,พยักหน้า,V,
กะง็อบๆ,ADV,,ปลกๆ,ADV,
กรอม,N,,ชาวเขมรโบราณ,N,
กะล็อก,V,,ล็อก,V,
กะล็อก กะล่อย,ADV,,ปั่นป่วนท้อง,ADV,
กะเลิบ,N,,กระเป๋าหิ้ว,N,
กะหงะ,ADJ,,แยกห่าง,ADJ,
กะหลา,V,,ถ่วงดุล,V,
กงกลอน,N,,คันกระสุน,N,
ก่ง,V,,ทำให้โค้ง,V,
ก้ง,ADJ,,โค้ง,ADJ,
ก้นจุ้น,N,,ตูดไก่,N,
กบกินเดือน,N,,สุริยุปราคา,N,
ก่อง,V,,ดึงลง,V,
เบ็ดก่อง,N,,เบ็ดราว,N,
กำบี้,N,,แมลงปอ,N,
ก่ำบี้,N,,แมลงปอ,N,
กำเบ้อ,N,,ผีเสื้อ,N,
ก่ำเบ้อ,N,,ผีเสืื้อ,N,
กำพอ,ADV,,พอดี,ADV,
ก่ำปอ,N,,พอดี,N,
กู่,N,,สถูป,N,
เก่เด่,ADV,,โด่เด่,ADV,
ขะจม,N,,มงกุฎ,N,
ขะจ๋ม,N,,มงกุฎ,N,
ขะปือ,N,,กฎ,N,
ขะพวง,N,,พวงมาลัย,N,
ขะปวง,N,,พวงมาลัย,N,
ขงขวาย,V,,ขะมักเขม้น,V,
ขัว,N,,สะพาน,N,
ข่วง,N,,ลานโล่ง,N,
ลงข่วง,V,,เข้าสู่ที่ประชุม,N,
ขอนผี,N,,ซากศพ,N,
ขาห้าน,ADJ,,ขากะเผลก,ADJ,
ขี้โข่,N,,สวะ,N,
ขี้เผิ้ง,N,,ขี้ผึ้ง,N,
ขี้สาย,N,,ไส้เทียน,N,
ขึด,ADJ,,เสนียดจัญไร,ADJ,
ขุ,V,,ตะล่อม,V,
เขือ,N,,มะเขือ,N,
เขือ,ADJ,Before PN,,,
เขือก,V,,เห่อ,V,
แขะ,V,,แคะออก,V,
แขะ,N,,ตะกร้า,N,
แขะ,ADV,,ขี้ขลาด,ADV,
แข่,N,,คนจีน,N,
ไข้ป้าง,N,,ไข้มาลาเรีย,N,
ฃอ,N,,ขอ,N,
ฃิ่ว,N,,ฉุน,N,
เฃน,V,,เข็น,V,
แฃก,N,,แขก,N,
ใฃ่,ADJ,,แห้งแล้ง,ADJ,
ฃาง,N,,เหล็กหล่อ,N,
ฃืน,V,,ตอบแทน,V,
ฃุ้น,V,,ข้น,V,
คันว่า,ADV,,หากว่า,ADV,
คะลิก,V,,คลึง,V,
ค็ดาย,,,ไม่น่าเลย,,
คะลิก,V,,คลึง,V,
คระนิง,V,,คิดถึง,V,
ขะนิง,V,,คิดถึง,V,
ครัวใน,N,,เครื่องใน,N,
ครัก,ADJ,,ดี,ADJ,
ค็อบ,N,,เบาะรองนั่ง,N,
ค่าติง,N,,ขนาดเท่าตัว,N,
คำซอ,N,,กวีนิพนธ์ในการขับซอ,N,
คำลม,N,,คำพูดลมๆแล้งๆ,N,
คิงิ,ADJ,,สั้น,ADJ,
คุด,V,,จ้วงตัก,V,
คู่ถ้อง,N,,คู่สนทนา,N,
เครียว,V,,แหย่,V,
เคว,V,,แหย่,V,
เคียด,V,,โกรธ,V,
โคต,ADJ,,สกุล,ADJ,
คุ,V,,ถังน้ำ,V,
น้ำคุ,V,,ถังน้ำ,V,
ฅะนิง,V,,คิดถึง,V,
ฅนง่าว,N,,คนโง่,N,
ฅนดิบ,N,,คนที่ยังไม่บวช,N,
ฅนเลิง,N,,คนหลักลอย,N,
ฅนสึ่งตึง,N,,คนไม่เต็มเต็ง,N,
